Commodity,Modal Price
Onion,800
Onion,850
Onion,900
Onion,950
Onion,1000
Onion,1100
Onion,1200
Onion,1300
Onion,1400
Onion,1500
Onion,1600
Onion,1700
Onion,1800
Onion,1900
Onion,2000
Onion,2100
Onion,2200
Onion,2300
Onion,2400
Onion,2500
Onion,2600
Onion,2700
Onion,2800
Onion,2900
Onion,3000
Onion,3200
Onion,3400
Onion,3600
Onion,3800
Onion,4000
Onion,4200
Onion,4400
Onion,4600
Onion,4800
Onion,5000
Onion,5200
Onion,5400
Onion,5600
Onion,5800
Onion,6000
Onion,6200
Onion,6400
Onion,6600
Onion,6800
Onion,7000
Onion,7200
Onion,7400
Onion,7600
Onion,7800
Onion,8000
Onion,15000
Onion,16000
Onion,17000
Onion,18000
Onion,19000
Onion,20000
Onion,21000
Onion,22000
Onion,23000
Onion,24000
